contact_id,informationtype,productservicetype,productserviceline,productservicename,location_id,dateadded
25,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,1,2010-07-10 00:00:00.0
26,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,1,2010-07-10 00:00:00.0
27,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
28,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
29,customerservice,DNA Extraction Products,Nucleon Blood & Cell Culture,BACC 1/ BACC 2/ BACC 3,8,2010-07-10 00:00:00.0
30,customerservice,DNA Extraction Products,Nucleon Blood & Cell Culture,"Non-Chloroform Blood Kit ",8,2010-07-10 00:00:00.0
31,customerservice,DNA Extraction Products,Nucleon Hard & Soft Tissue,Hard Tissues & Paraffin Sections,8,2010-07-10 00:00:00.0
32,customerservice,DNA Extraction Products,Nucleon Hard & Soft Tissue,"Non-Chloroform Mousetail Kit - Large/Small ",8,2010-07-10 00:00:00.0
33,customerservice,DNA Extraction Products,"Nucleon Plant Tissue ",Large & Small PhytoPure,8,2010-07-10 00:00:00.0
34,customerservice,DNA Extraction Products,"Nucleon Plant Tissue ",Nucleoplex Automated Plant DNA Kit,8,2010-07-10 00:00:00.0
35,customerservice,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex Plasmid DNA Kit,8,2010-07-10 00:00:00.0
36,customerservice,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex BAC DNA Kit,8,2010-07-10 00:00:00.0
37,customerservice,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex Automated Plant DNA Kit,8,2010-07-10 00:00:00.0
38,customerservice,Genetic Disease Testing,Elucigene,Elucigene CF (Cystic Fibrosis) Products,1589,2010-07-10 00:00:00.0
39,customerservice,Genetic Disease Testing,Elucigene,Elucigene QST*R Products,1589,2010-07-10 00:00:00.0
40,customerservice,Genetic Disease Testing,Elucigene,Elucigene Ashkenazi Screening,1589,2010-07-10 00:00:00.0
41,customerservice,Genetic Disease Testing,Elucigene,Elucigene AAT (Alpha-1-Antitrypsin) Products,1589,2010-07-10 00:00:00.0
42,customerservice,Genetic Disease Testing,Elucigene,Elucigene FH20 (Familial Hypercholesterolaemia),1589,2010-07-10 00:00:00.0
43,customerservice,Genetic Disease Testing,Elucigene,Elucigene TRP (Thrombosis) Products,1589,2010-07-10 00:00:00.0
52,customerservice,Instrument Systems,DTS,DTS 400 System,1,2010-07-10 00:00:00.0
53,customerservice,Instrument Systems,DTS,DTS 800 System,1,2010-07-10 00:00:00.0
54,customerservice,Instrument Systems,LEADER,LEADER HC+,1,2010-07-10 00:00:00.0
55,customerservice,Instrument Systems,LEADER,LEADER 450i,1,2010-07-10 00:00:00.0
56,customerservice,Instrument Systems,LEADER,"LEADER 50i ",1,2010-07-10 00:00:00.0
57,customerservice,Instrument Systems,TIGRIS,TIGRIS DTS System,1,2010-07-10 00:00:00.0
58,customerservice,Microbial Infectious Diseases,AMPLIFIED MTD,AMPLIFIED MTD (Mycobacterium Tuberculosis Direct) Test,1,2010-07-10 00:00:00.0
59,customerservice,Microbial Infectious Diseases,AMPLIFIED MTD,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
60,customerservice,Microbial Infectious Diseases,GASDirect,GASDirect Test,1,2010-07-10 00:00:00.0
61,customerservice,Microbial Infectious Diseases,GASDirect,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
62,customerservice,Microbial Infectious Diseases,Streptococcus - Group B,AccuProbe GROUP B Streptococcus Culture Identification Test,1,2010-07-10 00:00:00.0
63,customerservice,Microbial Infectious Diseases,Streptococcus - Group B,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
64,customerservice,Microbial Infectious Diseases,Streptococcus - Group B,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
65,customerservice,Microbial Infectious Diseases,Prodesse,ProGastro Cd,1,2010-07-10 00:00:00.0
66,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test ",1,2010-07-10 00:00:00.0
67,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,1,2010-07-10 00:00:00.0
68,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,1,2010-07-10 00:00:00.0
69,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test ",1,2010-07-10 00:00:00.0
70,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,1,2010-07-10 00:00:00.0
71,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,1,2010-07-10 00:00:00.0
72,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
73,customerservice,Microbial Infectious Diseases,Culture Identification - Bacterial,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
74,customerservice,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,1,2010-07-10 00:00:00.0
75,customerservice,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,1,2010-07-10 00:00:00.0
76,customerservice,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,1,2010-07-10 00:00:00.0
77,customerservice,Microbial Infectious Diseases,Culture Identification - Fungal,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
78,customerservice,Microbial Infectious Diseases,Culture Identification - Fungal,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
79,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,1,2010-07-10 00:00:00.0
80,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,1,2010-07-10 00:00:00.0
81,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,1,2010-07-10 00:00:00.0
82,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,1,2010-07-10 00:00:00.0
83,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,1,2010-07-10 00:00:00.0
84,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,1,2010-07-10 00:00:00.0
85,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
86,customerservice,Microbial Infectious Diseases,Culture Identification - Mycobacterial,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
95,customerservice,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu+,1,2010-07-10 00:00:00.0
96,customerservice,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu-ST,1,2010-07-10 00:00:00.0
97,customerservice,Respiratory Infectious Diseases,Prodesse,Prodesse Pro hMPV+,1,2010-07-10 00:00:00.0
98,customerservice,Respiratory Infectious Diseases,Prodesse,Prodesse ProParaflu+,1,2010-07-10 00:00:00.0
99,customerservice,Respiratory Infectious Diseases,Prodesse,Prodesse ProPneumo-1,1,2010-07-10 00:00:00.0
100,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
101,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA CT/GC,1,2010-07-10 00:00:00.0
102,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA CT/GC,1,2010-07-10 00:00:00.0
103,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
104,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
105,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
106,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
107,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA COMBO 2,1,2010-07-10 00:00:00.0
108,customerservice,Sexually Transmitted Diseases,APTIMA,APTIMA HPV,1,2010-07-10 00:00:00.0
109,customerservice,Sexually Transmitted Diseases,PACE,PACE 2C Systems,1,2010-07-10 00:00:00.0
110,customerservice,Sexually Transmitted Diseases,PACE,PACE CT/GC,1,2010-07-10 00:00:00.0
111,customerservice,Sexually Transmitted Diseases,PACE,PACE CT/GC,1,2010-07-10 00:00:00.0
112,customerservice,Sexually Transmitted Diseases,PACE,PACE 2 CT PCA/PACE 2 GC PCA,1,2010-07-10 00:00:00.0
113,customerservice,Sexually Transmitted Diseases,PACE,PACE 2 CT PCA/PACE 2 GC PCA,1,2010-07-10 00:00:00.0
114,customerservice,Transplant Diagnostics,LIFECODES,Gen-Probe Fluoroanalyzer,11,2010-07-10 00:00:00.0
115,customerservice,Transplant Diagnostics,LIFECODES,HLA Typing,11,2010-07-10 00:00:00.0
116,customerservice,Transplant Diagnostics,LIFECODES,KIR Genotyping,11,2010-07-10 00:00:00.0
117,customerservice,Transplant Diagnostics,LIFECODES,Cytokine SNP Typing,11,2010-07-10 00:00:00.0
118,customerservice,Transplant Diagnostics,LIFECODES,RBC Genotyping,11,2010-07-10 00:00:00.0
119,customerservice,Transplant Diagnostics,LIFECODES,"Screen & Identification ",11,2010-07-10 00:00:00.0
120,customerservice,Transplant Diagnostics,LIFECODES,LSA Single Antigen,11,2010-07-10 00:00:00.0
121,customerservice,Transplant Diagnostics,LIFECODES,Donor Specific Antibody,11,2010-07-10 00:00:00.0
122,customerservice,Transplant Diagnostics,LIFECODES,LSA-MIC,11,2010-07-10 00:00:00.0
123,customerservice,Virals,APTIMA,APTIMA HIV,1,2010-07-10 00:00:00.0
124,customerservice,Virals,APTIMA,APTIMA HIV,1,2010-07-10 00:00:00.0
125,customerservice,Virals,APTIMA,APTIMA HIV,1,2010-07-10 00:00:00.0
126,customerservice,Virals,APTIMA,APTIMA HCV,1,2010-07-10 00:00:00.0
127,customerservice,Virals,APTIMA,APTIMA HCV,1,2010-07-10 00:00:00.0
128,customerservice,Virals,APTIMA,APTIMA HCV,1,2010-07-10 00:00:00.0
129,customerservice,Virals,APTIMA,APTIMA HCV,1,2010-07-10 00:00:00.0
131,technicalsupport,"Blood Screening ","Blood Screening ","Procleix HIV-1/HCV Assay ",2,2010-07-10 00:00:00.0
132,technicalsupport,Blood Screening,"Blood Screening ",Procleix Ultrio Assay,2,2010-07-10 00:00:00.0
133,technicalsupport,Blood Screening,"Blood Screening ",Procleix Ultrio Plus Assay,2,2010-07-10 00:00:00.0
134,technicalsupport,Blood Screening,"Blood Screening ",Procleix WNV Assay,2,2010-07-10 00:00:00.0
135,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test ",2,2010-07-10 00:00:00.0
136,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,2,2010-07-10 00:00:00.0
137,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,2,2010-07-10 00:00:00.0
138,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test ",2,2010-07-10 00:00:00.0
139,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,2,2010-07-10 00:00:00.0
140,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,2,2010-07-10 00:00:00.0
141,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
142,technicalsupport,"Culture Identification ",Culture Identification - Bacterial,Gen-Probe Detection Raegent Kit,2,2010-07-10 00:00:00.0
143,technicalsupport,"Culture Identification ",Culture Identification - Fungal,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,2,2010-07-10 00:00:00.0
144,technicalsupport,"Culture Identification ",Culture Identification - Fungal,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,2,2010-07-10 00:00:00.0
145,technicalsupport,"Culture Identification ",Culture Identification - Fungal,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,2,2010-07-10 00:00:00.0
146,technicalsupport,"Culture Identification ",Culture Identification - Fungal,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
147,technicalsupport,"Culture Identification ",Culture Identification - Fungal,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
148,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,2,2010-07-10 00:00:00.0
149,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,2,2010-07-10 00:00:00.0
150,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,2,2010-07-10 00:00:00.0
151,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,2,2010-07-10 00:00:00.0
152,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,2,2010-07-10 00:00:00.0
153,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,2,2010-07-10 00:00:00.0
154,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
155,technicalsupport,"Culture Identification ",Culture Identification - Mycobacterial,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
156,technicalsupport,DNA Extraction Products,Nucleon Blood & Cell Culture,BACC 1 / BACC 2 / BACC 3,3,2010-07-10 00:00:00.0
157,technicalsupport,DNA Extraction Products,Nucleon Blood & Cell Culture,"Non-Chloroform Blood Kit ",3,2010-07-10 00:00:00.0
158,technicalsupport,DNA Extraction Products,Nucleon Hard & Soft Tissue,Hard Tissues & Paraffin Sections,3,2010-07-10 00:00:00.0
159,technicalsupport,DNA Extraction Products,Nucleon Hard & Soft Tissue,"Non-Chloroform Mousetail Kit - Small & Large ",3,2010-07-10 00:00:00.0
160,technicalsupport,DNA Extraction Products,"Nucleon Plant Tissue ",Small & Large PhytoPure,3,2010-07-10 00:00:00.0
161,technicalsupport,DNA Extraction Products,"Nucleon Plant Tissue ",Nucleoplex Automated Plant DNA Kit,3,2010-07-10 00:00:00.0
162,technicalsupport,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex Plasmid DNA Kit,3,2010-07-10 00:00:00.0
163,technicalsupport,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex BAC DNA Kit,3,2010-07-10 00:00:00.0
164,technicalsupport,DNA Extraction Products,Nucleon Automated DNA Kits,Nucleoplex Automated Plant DNA Kit,3,2010-07-10 00:00:00.0
165,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene CF (Cystic Fibrosis) Products,1590,2010-07-10 00:00:00.0
166,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene QST*R Products,1590,2010-07-10 00:00:00.0
167,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene Ashkenazi Screening,1590,2010-07-10 00:00:00.0
168,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene AAT (Alpha-1-Antitrypsin) Products,1590,2010-07-10 00:00:00.0
169,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene FH20 (Familial Hypercholesterolaemia),1590,2010-07-10 00:00:00.0
170,technicalsupport,Genetic Disease Testing,Elucigene,Elucigene TRP (Thrombosis) Products,1590,2010-07-10 00:00:00.0
175,technicalsupport,Instrument Systems,DTS,DTS 400 System,2,2010-07-10 00:00:00.0
176,technicalsupport,Instrument Systems,DTS,DTS 800 System,2,2010-07-10 00:00:00.0
177,technicalsupport,Instrument Systems,LEADER,LEADER HC+,2,2010-07-10 00:00:00.0
178,technicalsupport,Instrument Systems,LEADER,LEADER 450i,2,2010-07-10 00:00:00.0
179,technicalsupport,Instrument Systems,LEADER,"LEADER 50i ",2,2010-07-10 00:00:00.0
180,technicalsupport,Instrument Systems,TIGRIS,TIGRIS DTS System,2,2010-07-10 00:00:00.0
181,technicalsupport,Microbial Infectious Diseases,AMPLIFIED MTD,AMPLIFIED MTD (Mycobacterium Tuberculosis Direct) Test,2,2010-07-10 00:00:00.0
182,technicalsupport,Microbial Infectious Diseases,AMPLIFIED MTD,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
183,technicalsupport,Microbial Infectious Diseases,GASDirect,GASDirect Test,2,2010-07-10 00:00:00.0
184,technicalsupport,Microbial Infectious Diseases,GASDirect,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
185,technicalsupport,Microbial Infectious Diseases,Streptococcus - Group B,AccuProbe GROUP B Streptococcus Culture Identification Test,2,2010-07-10 00:00:00.0
186,technicalsupport,Microbial Infectious Diseases,Streptococcus - Group B,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
187,technicalsupport,Microbial Infectious Diseases,Streptococcus - Group B,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
188,technicalsupport,Microbial Infectious Diseases,Prodesse,ProGastro Cd,2,2010-07-10 00:00:00.0
189,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test ",2,2010-07-10 00:00:00.0
190,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,2,2010-07-10 00:00:00.0
191,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,2,2010-07-10 00:00:00.0
192,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test ",2,2010-07-10 00:00:00.0
193,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,2,2010-07-10 00:00:00.0
194,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,2,2010-07-10 00:00:00.0
195,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
196,technicalsupport,Microbial Infectious Diseases,Culture Identification - Bacterial,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
197,technicalsupport,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,2,2010-07-10 00:00:00.0
198,technicalsupport,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,2,2010-07-10 00:00:00.0
199,technicalsupport,Microbial Infectious Diseases,Culture Identification - Fungal,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,2,2010-07-10 00:00:00.0
200,technicalsupport,Microbial Infectious Diseases,Culture Identification - Fungal,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
201,technicalsupport,Microbial Infectious Diseases,Culture Identification - Fungal,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
202,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,2,2010-07-10 00:00:00.0
203,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,2,2010-07-10 00:00:00.0
204,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,2,2010-07-10 00:00:00.0
205,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,2,2010-07-10 00:00:00.0
206,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,2,2010-07-10 00:00:00.0
207,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,2,2010-07-10 00:00:00.0
208,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,"AccuProbe Culture Identification Reagent Kit ",2,2010-07-10 00:00:00.0
209,technicalsupport,Microbial Infectious Diseases,Culture Identification - Mycobacterial,Gen-Probe Detection Reagent Kit,2,2010-07-10 00:00:00.0
214,technicalsupport,Sexually Transmitted Diseases,PACE,PACE 2 CT PCA/PACE 2 GC PCA,2,2010-07-10 00:00:00.0
215,technicalsupport,Transplant Diagnostics,LIFECODES,Gen-Probe Fluoroanalyzer,6,2010-07-10 00:00:00.0
216,technicalsupport,Transplant Diagnostics,LIFECODES,HLA Typing,6,2010-07-10 00:00:00.0
217,technicalsupport,Transplant Diagnostics,LIFECODES,KIR Genotyping,6,2010-07-10 00:00:00.0
218,technicalsupport,Transplant Diagnostics,LIFECODES,Cytokine SNP Typing,6,2010-07-10 00:00:00.0
219,technicalsupport,Transplant Diagnostics,LIFECODES,RBC Genotyping,6,2010-07-10 00:00:00.0
220,technicalsupport,Transplant Diagnostics,LIFECODES,"Screen & Identification ",6,2010-07-10 00:00:00.0
221,technicalsupport,Transplant Diagnostics,LIFECODES,LSA Single Antigen,6,2010-07-10 00:00:00.0
222,technicalsupport,Transplant Diagnostics,LIFECODES,Donor Specific Antibody,6,2010-07-10 00:00:00.0
223,technicalsupport,Transplant Diagnostics,LIFECODES,LSA-MIC,6,2010-07-10 00:00:00.0
224,technicalsupport,Virals,APTIMA,APTIMA HIV,2,2010-07-10 00:00:00.0
225,technicalsupport,Virals,APTIMA,APTIMA HIV,2,2010-07-10 00:00:00.0
226,technicalsupport,Virals,APTIMA,APTIMA HIV,2,2010-07-10 00:00:00.0
227,technicalsupport,Virals,APTIMA,APTIMA HCV,2,2010-07-10 00:00:00.0
228,technicalsupport,Virals,APTIMA,APTIMA HCV,2,2010-07-10 00:00:00.0
229,technicalsupport,Virals,APTIMA,APTIMA HCV,2,2010-07-10 00:00:00.0
230,technicalsupport,Virals,APTIMA,APTIMA HCV,2,2010-07-10 00:00:00.0
231,technicalsupport,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu+,2,2010-07-10 00:00:00.0
232,technicalsupport,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu-ST,2,2010-07-10 00:00:00.0
233,technicalsupport,Respiratory Infectious Diseases,Prodesse,Prodesse Pro hMPV+,2,2010-07-10 00:00:00.0
234,technicalsupport,Respiratory Infectious Diseases,Prodesse,Prodesse ProParaflu+,2,2010-07-10 00:00:00.0
235,technicalsupport,Respiratory Infectious Diseases,Prodesse,Prodesse ProPneumo-1,2,2010-07-10 00:00:00.0
237,distributers,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu+,12,2010-07-15 00:00:00.0
238,distributers,Respiratory Infectious Diseases,Prodesse,Prodesse ProFlu-ST,12,2010-07-15 00:00:00.0
239,distributers,Respiratory Infectious Diseases,Prodesse,Prodesse ProParaflu+,12,2010-07-15 00:00:00.0
240,distributers,Respiratory Infectious Diseases,Prodesse,Prodesse Pro hMPV,12,2010-07-15 00:00:00.0
