location_id,dropdownname,locationname,contactname,addressline1,addressline2,addressline3,phone1,phone2,phone3,fax1,fax2,email,website,locationtext,locationcomments,addr_id,addressoverride,sortorder
11,US & ROW,Gen-Probe Transplant Diagnostics Inc.,,550 West Avenue,"Stamford, CT 06902, USA",,Toll Free:  888 329 0255,,,Fax: +  203 328 9599,,lifecodes@gen-probe.com,www.gen-probe.com,"Customer Service is available for order placement or to answer inquiries regarding the status of an established order. In addition, Customer Service can assist with contractual and/or pricing questions.  ",transplants customer service default location,4,,
12,Australia,Diagnostic Technology,,"Suite 45, 7 Narabang Way",Belrose.  NSW 2085,,+61 2 9986 2011 or 1800 803 950,,,Fax: +61 2 9986 2022,,info@diagnostictechnology.com.au,www.diagnostictechnology.com.au,,,10,,
13,Austria - BioProducts,BioProducts,,,,,+ 43 0 2268 6165 66,,,Fax: +43 0 2268 6165 44,,info@bioproducts.at,www.bioproducts.at,,,11,,
14,Belgium,Lucron Bioproducts bvba,Luc De Bock,"Willemsdorp 2, B-9840 De Pinte",Belgium,,+32 9282 0531,,,Fax: + 32 9282 0532,,info@lucronbioproducts.com,"www.lucronbioproducts.com ",,,12,,
15,Bosnia & Herzegovina,Jasika d.o.o.,"Mr.sc. Ivana Tomicic ","Remetinecka cesta 115, 10000 Zagreb",Croatia,,+ 385 1 6552 664,,,Fax: + 385 1 6535 018,,ivana.tomicic@jasika.hr,,,,13,,
16,Brunei,All Eights (M) Sdn Bhd,"Mr. Ng Choon Lee ","45 Jalan TS 6/10A, Subang Industrial Park, 47610 Subang Jaya, Selangor",Malaysia,,,,,,,all8@alleights.com.my,www.alleights.com,,,14,,
17,Canada,Inverness/Med-Ox Diagnostics,"Jeff Roberts ",1-57 Iber Road,"Ottawa, Ontario K2S 1E7",,Toll Free: 1-800-818-8335,,,"Fax: +1 613 271-1148 ",,jeff.roberts@invmed.com,www.medox.net,,,15,,
18,Croatia,Jasika d.o.o.,"Mr.sc. Ivana Tomicic ","Remetinecka cesta 115, 10000 Zagreb",Croatia,,+ 385 1 6552 664,,,Fax: + 385 1 6535 018,,ivana.tomicic@jasika.hr,,,,16,,
19,Czech Republic,Dynex s.r.o.,"Richard Kordiovsky ","Na Cihadle 32, 160 00 Praha 6",Czech Republic,,+420 224 313 375,,,Fax: +420 224 320 133,,office@dynex.cz,www.dynex.cz,,,17,,
20,Denmark,Biotech-IgG A/S,"Alistair Hurst ","Østerbrogade 95, DK-2100 Copenhagen",Denmark,,+45 3538 0500,,,Fax: +45 3538 7322,,ajh@biotech-igg.com,www.biotech-igg.com,,,18,,
21,Finland,Immuno Diagnostic Oy,,"Kaivokatu 16, 13100 Hämmeenlinna",Finland,,+358-3-615 370,,,Fax: +358-3-6822 039,,immuno.diagnostic@immuno.htk.fi,www.immunodiagnostic.fi,,,19,,
22,France,Argene,"Pascal Margry ","Parc Technologique Delta Sud, 09340 Verniolle",France,,+33 05 61 69 61 00,,,Fax: +33 05 61 69 61 01,,pascal.margry@argene.com,www.argene.com,,,20,,
23,Germany,ltf-Labortechnik GmbH & Co. KG,"Dr. Rudi Walser ",Hattnauer Strasse 18,88142 Wasserburg/B. Germany,,+49 0 8382-9852-0,,,Fax: +49 0 8382-9852-32,,info@labortechnik.com,www.labortechnik.com,,,21,,
24,Greece,VARELAS S.A.,Vassilis Tziotis,"2, Achilleos St, 104 37 Athens. Greece",,,+30 210 52 81 900,,,Fax: +30 210 52 20 926,,+30 210 52 20 926	varelas@otenet.gr,,,,22,,
25,India,ZOETIC HEALTHCARE P. LTD,"Nikhil Majithia ","8th Floor, The Chambers, Opp. New Gurudwara, Sarkhej - Gandhinagar Highway, Ahmedabad – 380 054","Gujarat, India",,+91 79 26857382,or 26857428,,Fax: +91 79 26859892,,nikhil@zoetic.co.in,,,,23,,
26,Ireland,"Medical Supply Co, Ltd","Marie Louise Flannery ","Durmastown, Mulhuddart, Dublin 15. Ireland",,,+353 1 822 4222,,,"Fax: +353 1 822 4100 ",,mflannery@medical-supply.ie,www.medical-supply.ie,,,24,,
27,Israel,Gamidor Diagnostics (1984) Ltd.,"Hila Gilboa ",34 Shaham Street,Petach Tikva. Israel,,+972 3 9277277,,,Fax: +972 3 9277278,,hila@gamidor.co.il,www.gamidor.com,,,25,,
28,Italy,Arrow Diagnostics S.r.l.,"Mascarino Gianluigi ","Viale Modugno, 1/5",16154 Genova. Italy,,+39 010 66 71 796,,,Fax: +39 010 61 20 971,,glm@arrowdiagnostics.it,www.arrowdiagnostics.it,,,26,,
30,Jordan,Envirolife,"Ayed Abu-Gheith ","Mulabus Commercial Center, 4th Floor, Al-Madina Al-Munawara Street, Telaa Al-Ali, P.O. Box 1707, ",Amman 11953 Jordan,,+962 6 5529 530,,,Fax: +962 6 5529 535,,envirolife@wanadoo.jo,,,,28,,
31,Kuwait,Bader Sultan & Bros Co. W.L.L.,"Hisham Ezzat ","P.O. Box 867, Safat 13009","Safat, Kuwait",,+965 4332555,,,Fax: +965 4334217,,hisham@sultan.com.kw,,,,29,,
32,Latvia,"Interlux, SIA","Nauris Sedlers ","Lubanas Street 78, Riga LV-1073. Latvia",,,+371 7795240,,,Fax: +371 7795241,,info@interlux.lv,www.interlux.lv,,,30,,
33,Lithuania,"Interlux, UAB","Maksim Bratchikov ","Avieciu Street 16, Vilnius, LT-08418. Lithuania",,,+370 52786850,,,Fax: +370 52796728,,spirit@interlux.lt,www.interlux.lt,,,31,,
34,Luxembourg,Lucron Bioproducts bvba,"Luc De Bock ","Willemsdorp 2, B-9840 De Pinte, Belgium",,,+32 9282 0531,,,Fax: + 32 9282 0532,,info@lucronbioproducts.com,"www.lucronbioproducts.com ",,,32,,
35,Malaysia,All Eights (M) Sdn Bhd,"Mr. Ng Choon Lee ","45 Jalan TS 6/10A, Subang Industrial Park"," 47610 Subang Jaya, Selangor, Malaysia",,,,,,,all8@alleights.com.my,www.alleights.com,,,33,,
36,Malta,"Scientech Ltd ",Noel Azzopardi,"No. 22 Sqaq ix-Xatt Nru 3, Pieta. PTA 0160. Malta",,,"+356 9945 5980 ",,,Fax: +356 2149 3640,,"scientech@waldonet.net.mt ",,,,34,,
37,Mexico,"Industrias Bioselec, S.A. de C.V.","Lefty Silvera ",Amores 744,México D.F. 03100,,+52 55 5536-6788,,,Fax: +52 55 5523-3033,,lefty_silvera@bioselec.com.mx,www.bioselec.com.mx,,,35,,
38,Netherlands,Lucron Bioproducts bvba,"Luc De Bock ","Willemsdorp 2, B-9840 De Pinte, Belgium",,,+32 9282 0531,,,Fax: + 32 9282 0532,,info@lucronbioproducts.com,"www.lucronbioproducts.com ",,,36,,
39,Norway,Montebello Diagnostics AS,"Ingrid Gervin ","Husebybakken 34, 0379 Oslo. Norway",,,+47 22 14 14 90,,,Fax: +47 22 14 44 90,,"mail@montebello.no ",www.montebello.no,,,37,,
40,Northern Ireland,"Medical Supply Co, Ltd","Marie Louise Flannery ","Durmastown, Mulhuddart",Dublin 15. Ireland,,+353 1 822 4222,,,"Fax: +353 1 822 4100 ",,mflannery@medical-supply.ie,"www.medical-supply.ie ",,,38,,
41,Peru,Virustec E.I.R.L.,Carlos Yon,"Jr. Punta Pejerrey Mz. 3A Lote 74, Urb. Sol de la Molina, III Etapa - La Molina",Lima 12. Peru,,,,,,,yon@terra.com.pe,,,,39,,
42,Philippines,Diagnostika Pilipinas,"Oliver Veran ","Unit 1206, One Magnificent Mile - CITRA Building, San Miguel Avenue, Ortigas Center, Pasig City. ",Philippines,,+63 917 844 2418,,,,,Oliveran18@mindgate.net,,,,40,,
43,Poland,BIOCORP Polska Ltd.,"Maciej Slomkowski ","Pawinskiego 5A, 02-106 Warsaw. Poland",,,+48 22 668-73-80,,,Fax: +48 22 658-45-06,,m.slomkowski@biocorp.pl,www.biocorp.pl,,,41,,
44,Portugal,Quilaban,"Carla Pinto ","Qu’mica Laboratorial Anal’tica, Lda, Beloura Office Park",Edif’cio 11,"Quinta da Beloura 2710-693 SINTRA, Portugal",+351 21 923 6350,,,Fax: +351 21 923 6389,,carlapinto@quilaban.pt,www.quilaban.pt,,,42,,
45,Saudi Arabia,Abdulla Fouad Holding Co.,"Mohammed Adam Idris ","Medical Supplies Division, P.O. Box 257, Dammam 31411",Saudi Arabia,,+966-38324400 Ext 226,,,Fax: +966 3 834 6174,,mohd.adam@abdulla-fouad.com,,,,42,,
46,Slovenia,PROBO d.o.o.,"Gabrijel Popovi? ","Prekorje 48, SI-3211 ?kofja vas, SLOVENIJA",,,+386059222069,,,Fax: +386034928741,,gabrijel.popovic@probo.si,,,,43,,
47,South Africa,Nyala Technologies (Pty) Ltd.,"Chris Helme ","PO Box 383, Fourways 2055",Republic of South Africa,,+27 11 463 8 445,,,Fax: +27 11 463 7030,,chelme@iafrica.com,www.nyalatech.com,,,44,,
48,Korea - South,"WOONGBEE MeDiTech, Inc",,"4th floor Jaewon Bldg., 662-15 Yeoksam-dong, Kangnam-Ku, Seoul, Korea 135-080",,,+82 2 569 0781,,,Fax: +82 2 569 0784,,woongbee@chollian.net,www.woongbee.com,,,45,,
49,Spain,"IZASA, S.A.",,"Aragón 90, Apartado 35.027, 08015 Barcelona. Spain",,,+34 93 401 01 01,,,Fax: +34 93 451 08 74,,aanso@izasa.es,www.izasa.es,,,46,,
50,Sweden,ANL Produkter AB,"Catarina Klofelt ","Danska gränd 2, 125 34 Älvsjö. Sweden",,,+46 08 99 00 90,,,Fax: +46 08 99 20 40,,info@anl.se,www.anl.se,,,47,,
51,Switzerland,TEOMED AG,,"Tumigerstrasse 71, 8606 Greifensee / ZH. Switzerland",,,+41 44 942 00 13,,,Fax: +41 44 942 00 19,,teomed@teomed.ch,www.teomed.ch,,,48,,
52,Thailand,"Cybeles (Thailand) Co., Ltd.",Attaporn Taweetungtragoon,"80/2 Suthisarnvinitchai Road, Samsennok, Huaykwang","Bangkok 10320, THAILAND",,+66 2 274 7339,,,Fax +66 2 274 7340,,attaporn@cybeles.de,www.cybeles.de,,,49,,
53,Turkey,ATC Health Products Co. Inc.,"Burcu Erkurt ","7, Cad,. No: 73/A, 06610 Birlik Mahallesi",Cankaya - Ankara. Turkey,,+90 312 496 43 19-20,,,Fax: +90 312 496 43 18,,erkurt@atcmed.com,www.atcmed.com,,,50,,
54,United Arab Emirates,Al-Hayat Pharmaceuticals U.A.E.,"Said Israiwe ",P.O. Box: 4483,"Sharjah, United Arab Emirates",,+971 6 559 2481,,,Fax: +971 6 559 3573,,alhayat@emirates.net.ae,www.alhayatuae.com,,,51,,
55,United Kingdon,"The Binding Site, Ltd",Victoria Bull,PO Box 11712,"Birmingham, B14 4ZB. UK",,+44 0 121 436 1000,,,Fax: +44 0 121 430 7061,,victoria.bull@bindingsite.co.uk,www.bindingsite.co.uk,,,52,,
56,Venezuela,"Laboratorios Geminis, c.a.","Rafael Méndez ","Calle La Joya, Edificio Cosmos, Mezzanina, Local D-E, Chacao, Caracas 1060",Apartado Postal 61290. Venezuela,,+58-0500-GEMINIS 436.4647,,,Fax: +58 212 266 5011,,rmendez@labgeminis.com,www.alhayatuae.com,,,53,,
57,Algeria,Laboratoires AAZ,Akli Bouaziz,,,,+33 01 46 87 02 46,,,Fax: +33 06 85 90 34 44,,abouaziz@eurekahealth.fr,,,added by cut/paste 7/23,57,,
58,Australia,Diagnostic Solutions,,"PO Box 248, Fairfield, Victoria 3078. Australia",,,+03 94 999 446/0800 448 018,,,Fax: +09 94 999 556/0800 448 017,,info@diagsolns.com.au,www.diagnosticsolutions.com.au,,added by cut/paste 7/32,57,,
59,Austria,Inno-Train Diagnostics GmbH,Dr. Rainer Frank,Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/41,57,,
60,Benelux-France,Gen-Probe Belgium BVBA,Christine Heylen,"Heuvelstraat 60, B-2560 Nijlen. Belgium",,,+32 3 3854791,,,Fax: +32 3 3854792,,christine.heylen@gen-probe.com,,,added by cut/paste 7/50,57,,
61,Brazil,The Bio Group - PH7ID,,Rua Carlos Gomes 172,"Sao Bernardo do Campo - SP, 09715-130, Brazil ",,"+55 11 4338 8666 ",,,,,contato@thebiogroup.com.br,,,added by cut/paste 7/59,57,,
62,Bulgaria,ANTISEL Selidis Bros s.a.,Kostas Gatsos,"36 Anaximandrou - 6 Karatasiou, 542 50 Harilaou","Thessaloniki, Macedonia",,+30/2310 32 2525,,,Fax: +30/2310 32 1912,,antisel@antisel.gr,,,added by cut/paste 7/68,57,,
63,Chile,Bios Ingenieria Gentica SA,Cetna Skorin,"Avenida Marathon 1943, Santiago, Chile",,,+56 2238 1878,,,,,,,,added by cut/paste 7/77,57,,
64,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. ",Kang Ying,"International Incubator No. 1, Bldg. Room 15A","Shangdi Xinxi Rd #2, Haidian","Beijing 100085, P.R. China  ","+86 10 82894088 ",,,,,irene.k.y@beijingrose.com,,,added by cut/paste 7/86,57,,
65,Czech Republic,Inno-Train Diagnostics GmbH,Dr. Rainer Frank,Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/95,57,,
66,Fyrom,ANTISEL Selidis Bros s.a.,Kostas Gatsos,"35 Anaximandrou - 6 Karatasiou, 542 50 Harilaou","Thessaloniki, Macedonia",,+30/2310 32 2525,,,Fax: +30/2310 32 1912,,antisel@antisel.gr,,,added by cut/paste 7/104,57,,
67,Germany,Inno-Train Diagnostics GmbH,"Dr. Rainer Frank ",Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/113,57,,
68,Greece,ANTISEL Selidis Bros s.a.,Kostas Gatsos,"36 Anaximandrou - 6 Karatasiou, 542 50 Harilaou","Thessaloniki, Macedonia",,+30/2310 32 2525,,,Fax: +30/2310 32 1912,,antisel@antisel.gr,,,added by cut/paste 7/122,57,,
69,Hungary,Inno-Train Diagnostics GmbH,"Dr. Rainer Frank ",Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/131,57,,
70,India,CPC Diagnostics PVT Ltd,"C Suresh ","#9, 5th Floor Gokul Tower 9&10, CP Ramaswamy Road",Chennai - 600018. India,,"+9144 24993989 ",,,,,suresh@cpcdiagnostics.in,,,added by cut/paste 7/140,57,,
71,Indonesia,Innovative Biotech Pte Ltd,"Evinna Low ","67 Ayer Rajah Crescent, #07-10 Ayer Rajah Industrial Estate",Singapore 139950,,+65 6779 1919,,,Fax: +65 6779 1112,,info@innovativebiotech.com.sg,,,added by cut/paste 7/149,57,,
72,Israel,Tarom Applied Technologies Ltd.,,"93 Jabotinsky St. PetachTakva 49517, PO Box 39338",Tel Aviv 61392 Israel,,+972-3-9214145,,,Fax: +972-3-9214146,,tarom@tarom.co.il,,,added by cut/paste 7/158,57,,
73,Italy,GTI ITALIA s.r.l.,,"Aurora Lucchi, Via Cadorna 1"," 20090 Opera, Italy",,+39 0257600771,,,Fax: +39 0257603544,,gtiitaliasrl@tin.it,,,added by cut/paste 7/167,57,,
74,Libya,Laboratoires AAZ,"Mr. Akli Bouaziz ",,,,+33 01 46 87 02 46,,,Fax: +33 06 85 90 34 44,,abouaziz@eurekahealth.fr,,,added by cut/paste 7/176,57,,
75,Malaysia,"Chen Ken Hoong, Biomarketing Services (M) Sdn Bhd",,"21 Jalan 4/62A, Bandar Menjalara, Kepong",52200 Kuala Lumpur. Malaysia,,"+603 627 330 68/627 360 68 ",,,,,chen@biomarketing.com.my,,,added by cut/paste 7/185,57,,
76,Mexico,Uniparts S.A. de C.V.,,"Galileo 92, Polanco, 11550 Mexico, D.F., Mexico",,,+52 55 5281 4718,,,Fax: +52 55 5281 4722,,uniparts@uniparts.com.mx,,,added by cut/paste 7/194,57,,
77,Morocco,Laboratoires AAZ,"Mr. Akli Bouaziz ",,,,+33 01 46 87 02 46,,,Fax: +33 06 85 90 34 44,,abouaziz@eurekahealth.fr,,,added by cut/paste 7/203,57,,
78,New Zealand,Diagnostic Solutions,,"PO Box 248, Fairfield, Victoria 3078. Australia",,,+03 94 999 446/0800 448 018,,,Fax: +09 94 999 556/0800 448 017,,"info@diagsolns.com.au ",www.diagnosticsolutions.com.au,,added by cut/paste 7/212,57,,
79,Oman,Laboratoires AAZ,"Mr. Akli Bouaziz ",,,,+33 01 46 87 02 46,,,Fax: +33 06 85 90 34 44,,abouaziz@eurekahealth.fr,,,added by cut/paste 7/221,57,,
80,Panama,Bio Lab S.A.,Diana I. Mora J,"Calle 22, Pueblo Nuevo, Panama City, Panama",,,+507-229-7111,,,,,,,,added by cut/paste 7/230,57,,
81,Peru,Lab Depot S.A.,"Antonio Sanders ","Av Gregorio Escobedo 788-101, Lima 011, Peru",,,+511 461 1357,,,,,labdepot-gg@speedy.com.pe,,,added by cut/paste 7/239,57,,
82,Poland,Inno-Train Diagnostics GmbH,Dr. Rainer Frank,Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/248,57,,
83,Portugal,DIAGNOSTICA LONGWOOD s.l.,"Antonio Raichs ","Camino del Pilon 86, Casa 7-local","50011-Zaragoza, Portugal",,+34/976 320 638,,,Fax: +34/976 320 660,,dlw@dlongwood.com,,,added by cut/paste 7/257,57,,
84,Republica Muldova,AMD,"Anamaria Betina Stefan ",Piata-Amzei street no. 10-22,"Sector 1 Bucharest, Romania",,+0040 727 738 098,,,,,betina@amdiagnostics.ro,,,added by cut/paste 7/266,57,,
85,Saudi Arabia,Saudi Technology & Equipment Co,,P.O.Box 91406 Riyadh 11623,,,+966 1 450 29 28,,,Fax: +966 1 456 74 98,,,,,added by cut/paste 7/284,57,,
86,Singapore,Innovative Biotech Pte Ltd,"Evinna Low ","67 Ayer Rajah Crescent, #07-10 Ayer Rajah Industrial Estate",Singapore 139950,,+65 6779 1919,,,Fax: +65 6779 1112,,info@innovativebiotech.com.sg,,,added by cut/paste 7/293,57,,
87,Slovakia,Inno-Train Diagnostics GmbH,"Dr. Rainer Frank ",Niederhöchstädter Straße 62,D-61476 Kronberg/Taunus,,+49 61 73 60 79 30,,,,,r.frank@inno-train.de,,,added by cut/paste 7/302,57,,
88,South Africa,IEPSA,"Karina Suter ",279 Brooklyn Road,"Brooklyn, Pretoria 0181",,+27 12 362 2029,,,"Fax: +27 12 362 2030 ",,iepsamed@mweb.co.za,www.iepsa.co.za,,added by cut/paste 7/311,57,,
89,Korea - South,"Tae Yeong CnL ","C.N. Lee, ","Rm. 1506 DongMoon Vision Office Bldg., 318-6 ShinJeong-dong","Yangcheon-ku, Seoul, 158-076, Korea ",,"+82 2-2061-1902 ",,,,,cnlee@tycnl.com,,,added by cut/paste 7/320,57,,
90,Spain,DIAGNOSTICA LONGWOOD s.l.,"Antonio Raichs ","Camino del Pilon 86, Casa 7-local, 50011-Zaragoza, Spain",,,+34/976 320 638,,,Fax: +34/976 320 660,,dlw@dlongwood.com,,,added by cut/paste 7/329,57,,
91,Thailand,Innovative Biotech Pte Ltd,"Evinna Low ","67 Ayer Rajah Crescent, #07-10 Ayer Rajah Industrial Estate",Singapore 139950,,+65 6779 1919,,,Fax: +65 6779 1112,,info@innovativebiotech.com.sg,,,added by cut/paste 7/338,57,,
92,Taiwan,Metek Lab Inc.,Mr. James Chang,"2nd Floor, Number 16 Sec 1, Hoping East Road",Taipei Taiwan R.O.C.,,+886-2-23660864,,,,,,,,added by cut/paste 7/347,57,,
93,Tunisia,Laboratoires AAZ,"Mr. Akli Bouaziz ",,,,+33 01 46 87 02 46,,,Fax: +33 06 85 90 34 44,,abouaziz@eurekahealth.fr,,,added by cut/paste 7/356,57,,
94,Turkey,ATQ Biyoteknloij,,"7.Cad., No: 73/A, 06610 Birlik Mahallesi",Cankaya-Ankara,,+0312 496 43 19-20,,,,,,,,added by cut/paste 7/365,57,,
95,United Kingdom,QUEST BIOMEDICAL,"Gary Cavanagh ","The Exchange- 24 Haslucks Green Road, Shirley-Solihull",West Midlands B90 2EL. UK,,+44/0 121 744 7674,,,Fax: +44/0 121 744 0775,,gary.cavanagh@questbiomedical.com,,,added by cut/paste 7/374,57,,
96,Yugoslavia,ANTISEL Selidis Bros s.a.,Kostas Gatsos,"35 Anaximandrou - 6 Karatasiou, 542 50 Harilaou","Thessaloniki, Macedonia",,+30/2310 32 2525,,,Fax: +30/2310 32 1912,,antisel@antisel.gr,,,added by cut/paste 7/383,57,,
97,Albania,ANTISEL Selidis Bros s.a.,Kostas Gatsos,"35 Anaximandrou - 6 Karatasiou, 542 50 Harilaou","Thessaloniki, Macedonia",,+30/2310 32 2525,,,Fax: +30/2310 32 1912,,antisel@antisel.gr,,,added by cut/paste 7/15,57,,
98,Romania,AMD,"Anamaria Betina Stefan ","Piata-Amzei street no. 10-22, Sector 1 Bucharest, Romania",,,+0040 727 738 098,,,,,betina@amdiagnostics.ro,,,,1,,
99,Austria,HÖLZEL DIAGNOSTIKA Handels GmbH,"Veit Hölzel ",Hansaring 10,"50670 Koeln, Germany",,+49 2211260266,,,Fax: +49 2211260267,,info@hoelzel.de,www.hoelzel-biotech.com,,added by cicie,200,,
100,Belgium,SANQUIN REAGENTS,John Voorn,"Plesmanlaan 125, 1066 CX ","Amsterdam, The Netherlands",,+31 205123333 or +31 205123246,,,Fax: +31 205123570,,reagents@sanquin.nl,"www.sanquin.nl˜ ",,added by cicie,200,,
101,Bulgaria,ELTA 90M Ltd,Dr Teodor Zamfirov,"19, Dunav Str., Ent. A Fl.1,","1000 Sofia, Bulgaria",,+359 2 983 9649 or 2 483 3984,,,Fax: +359 2 983 2211,,elta90@dir.bg,www.elta90.com,,added by cicie,200,,
102,Canada,CELL SCIENCES,Irwin Libeskind,"Neponset Valley Tech Park, 480 Neponset Street, Building 12A","Canton, MA 02021, USA",,+781 828 0610 or +888 769 1246,,,Fax: +781 828 0542,,irwin@cellsciences.com,www.cellsciences.com,,added by cicie,200,,
103,China - SHENZHEN,SHENZHEN JUYING BIOSCITECH CO. LTD,Weimin Zhang,"2F. East, TaiKe Building, TaiKe Rd.","518049 ShenZhen, PR China ",,+86 755 83953588,,,Fax: +86 755 83953968,,info@jybst.com,www.jybst.com,,added by cicie,200,,
104,China - GENETIMES,GENETIMES TECHNOLOGY INC,Yuan Zhao,"1F, Building No.28, 140 TianLin Road","Shanghai 200233, PR China",,+86 21 33676611,,,Fax: +86 21 33676155,,zhaoyuan@genetimes.com.cn,http://www.genetimes.com.cn,,added by cicie,200,,
105,Czech Republic - BARIA,BARIA,,"Jizni 393, 252 44 Psáry",Czech Republic,,Mobile: 00420 774 227 423,Free Czech call 800 400 227,,Phone/Fax: +00420 244 911 228,,pkalfirtova@baria.cz,www.baria.cz,,added by cicie,200,,
